| 原始标签 | 名称 | 描述 | 外部链接 |
| -------- | ---- | ---- | -------- |
|  | ▼ GAL公司 |  |  |
| clockup | CLOCKUP |  | [官方网站](http://clockup.net/) |
| guilty | Guilty | WillPlus（ウィルプラス）品牌 | [官方网站](http://www.guilty-soft.com/main.htm) |
| guilty plus | Guilty+ | WillPlus（ウィルプラス）品牌 | [官方网站](http://www.guilty-soft.com/main.htm) |
| guilty ex | Guilty eX | WillPlus（ウィルプラス）品牌 | [官方网站](http://www.guilty-soft.com/main.htm) |
| nanawind | NanaWind | NanaWind（ナナウィンド）是日本アスカデザイン公司的成人游戏品牌。 | [官方网站](http://nanawind.jp/) |
| orc soft | ORCSOFT |  | [官方网站](http://www.orcsoft.jp) |
| praline | Praline | プラリネ(Praline)是WillPlus旗下品牌。 | [官方网站](http://www.praline-game.com) |
| sakuragame | SakuraGame |  | [微博](https://weibo.com/sakuragame) [STEAM](http://store.steampowered.com/search/?developer=SakuraGame) |
| frill | Frill |  | [官方网站](frill.product.co.jp/) [维基百科（日文）](https://ja.wikipedia.org/wiki/Frill) |
| triangle | Triangle |  |  |
| mana | mana |  | [官方网站](http://mana.product.co.jp) |
| sprite | sprite | sprite是日本成人游戏品牌，fairys是全年龄美少女游戏品牌，互为姊妹社。 |  |
| fairys | fairys | fairys原本也是有限会社アクセル的品牌，2012年3月以フェアリス株式会社为名独自成立为一家公司，分社化经营。 |  |
| escude | エスクード |  |  |
| campus | Campus |  |  |
| interheart | INTERHEART |  | [官方网站](http://www.interheart.co.jp/) |
| darknesspot | DarknessPot | INTERHEART 旗下品牌 |  |
| nihon bussan | 日本物产 |  |  |
| sphinx | SPHINX | 日本物产旗下 |  |
| bishop | BISHOP |  |  |
| tanuki soft | たぬきそふと |  |  |
| baseson | BaseSon |  |  |
| miel | Miel | ![](http://www.miel-soft.com/img/mielbn.jpg) | [官方网站](http://www.miel-soft.com) |
| may-be soft | May-Be SOFT | Tech Arts 旗下品牌，画师以`akaza`为主。<br>Tech Arts已破产 | [官方网站](http://www.maybesoft.jp) |
| squeez | SQUEEZ | Tech Arts 旗下品牌。<br>Tech Arts已破产，原班人马已成立新公司`milk factory`进行活动。 | [官方网站](http://squeez-soft.jp) |
| milk factory | みるふぁく | 母公司 Tech Arts 破产后，SQUEEZ 原班人马成立的新公司。 | [官方网站](https://milkfactory.jp) |
| alicesoft | ALICESOFT | 爱丽丝软件（AliceSoft，有时亦作Alice Soft，アリスソフト）是隶属于冠军软件公司（Champion Soft，チャンピオンソフト）的成人游戏品牌，于1989年成立。 | [维基百科](https://zh.wikipedia.org/zh-cn/ALICESOFT) [官方网站](http://www.alicesoft.com/) (\*) |
| omega star | ωstar |  |  |
| norn | Norn |  |  |
| aries | Aries |  |  |
| ensemble | ensemble | ensemble 是日本一家成人游戏制作公司，主要制作大小姐恋爱AVG游戏，姐妹品牌为 ensemble SWEET。 |  |
| ensemble sweet | ensemble SWEET |  |  |
| caramel box | CARAMEL-BOX |  | [官方网站](http://www.caramel-box.com/) |
| rootnuko | √nuko |  |  |
| c drive | C:drive. |  |  |
| d drive | D:drive. |  |  |
| grand cross | GRAND†CROSS |  |  |
| skyfish | SkyFish |  |  |
| skyfish poco | SkyFish poco |  |  |
| chelseasoft | Chelseasoft |  |  |
| sphere | Sphere |  |  |
| hook | HOOKSOFT | HOOKSOFT是日本ロボプランニング公司的游戏品牌，主要发售恋爱冒险类型的成人游戏。最早原名为HOOK，于2000年4月成立，并在2008年12月2日重整后改为现名。SMEE、ASa Project与TJR(已活动休止)是其姐妹品牌。目前是Partner Brand（パートナーブランド）的加盟品牌之一。 | [维基百科](https://zh.wikipedia.org/zh-cn/HOOKSOFT) [官方网站](http://www.hook-net.jp/htm/index_02.htm) (\*) |
| smee | SMEE |  | [官方网站](http://www.hook-net.jp/smee/) |
| asa project | ASa Project |  | [官方网站](http://www.asa-pro.com/top.html) (\*) |
| rosebleu | Rosebleu |  |  |
| clochette | Clochette | Clochette（日语：クロシェット）社位于东京都台东区浅草，为日本公司ブランエール（BLANC AILE）旗下的成人游戏品牌。自2007年开始活跃，开发浪漫喜剧性质的校园风格的游戏。 | [维基百科](https://zh.wikipedia.org/zh-cn/Clochette) [官方网站](http://www.clochette-soft.jp/) (\*) |
| honey soft | HONEY SOFT |  |  |
| appetite | アパタイト |  |  |
| pakopako soft | ぱこぱこそふと |  |  |
| neko neko soft | 猫猫软件 |  |  |
| abhar | ABHAR |  |  |
| abhar tronc | ABHAR Tronc |  |  |
| incarose | インカローズ | ![](http://incarose-soft.com/image/incarose1.png) | [官方网站](http://incarose-soft.com) |
| nutaku | Nutaku |  |  |
| etude | etude |  |  |
| eufonie | eufonie | etude 的姐妹品牌 |  |
| eushully | Eushully |  |  |
| waffle | Waffle |  |  |
| navel | Navel |  |  |
| tryset | TRYSET |  |  |
| seal-tutu | seal-tutu | softhouse-seal 子品牌 |  |
| softhouse chara | Softhouse Chara |  |  |
| softhouse-seal | softhouse-seal | ![logo](http://softhouse-seal.com/seal/img/menu/logo.gif)<br>抜作之家<br>撸死你！<br>![图1](# "https://ehgt.org/29/11/29114d5299e829b7b04630327ceb941d84c75405-656133-800-600-png_250.jpg")<br>![图2](# "https://ehgt.org/c5/41/c54108b7c57f663916e09b752670033b2cf2d5b7-616142-800-600-png_250.jpg") | [官方网站](http://softhouse-seal.com) |
| devil-seal | Devil-seal | ![logo](http://softhouse-seal.com/devil/img/menu/menu_top_a.png)<br>softhouse-seal 旗下偏黑暗向<br>![图1](# "https://ehgt.org/45/cf/45cf8894af5056221a7a28e4d3fecb459c215e0f-625522-800-600-png_250.jpg")<br>![图2](# "https://ehgt.org/43/08/4308cf8bb3d1e82adfb577a14009b643837a82ff-227544-606-857-jpg_250.jpg") | [官方网站](http://softhouse-seal.com/devil/index.html) |
| softhouse-seal grandee | softhouse-seal GRANDEE | ![logo](http://softhouse-seal.com/grandee/img/logo.png)<br>softhouse-seal 旗下抜作天堂<br>撸死你！撸死你！撸死你！<br>![图1](# "https://ehgt.org/56/20/5620767214c3ff0a042f4d0e763e33edc2b2ebc4-127473-320-460-jpg_250.jpg")<br>![图2](# "https://ehgt.org/0c/e0/0ce02e8368b6a222ebe7a5dd6a0c1ade8334ae89-104224-457-640-jpg_250.jpg") | [官方网站](http://softhouse-seal.com/grandee/index.html) |
| reverse | Re:verse | softhouse-seal 姊妹公司<br>![图1](# "https://ehgt.org/db/df/dbdf702dabd10ea331d3493561e8aa353a9a7ab3-721135-800-600-png_250.jpg") |  |
| samoyed smile | SAMOYED SMILE | ![logo](http://samoyed-smile.com/img/top/topic17.jpg)<br>softhouse-seal 的姊妹公司<br>![图](# "https://ehgt.org/10/c0/10c01a35cb889b68e48675b8660071adb2557b40-833357-1000-700-jpg_250.jpg") |  |
| moonstone | MOONSTONE | ![logo](http://www.moon-stone.jp/img/mstn_banner.gif)<br>来自于做D.C.的Circus公司<br>![图1](https://ehgt.org/9b/ea/9bea6e4b47f77a35d7f16f6cb68698e395fe245d-621287-1280-1790-jpg_250.jpg)<br>![图2](https://ehgt.org/4d/8b/4d8bac8da42026d7edf9d4e39801485f858cadbc-81278-320-445-jpg_250.jpg) | [官方网站](http://www.moon-stone.jp) |
| moonstone cherry | MOONSTONE Cherry | ![logo](http://www.moon-stone.jp/product/ms09/wp-content/uploads/2010/01/cherry_toplogo.gif)<br>MOONSTONE旗下抜作天堂<br>撸死你！撸死你！撸死你！<br>![图](# "https://ehgt.org/42/49/4249ebe09c1003f3ea432adcff311db7b68013bd-130057-320-460-jpg_250.jpg") | [官方网站](http://www.moon-stone.jp) |
| moonstone honey | MOONSTONE Honey | MOONSTONE 旗下品牌<br>![图](# "https://ehgt.org/4d/ab/4dab0cd6676d786afeea0ef64451410c9d12f94d-237009-500-715-jpg_250.jpg") | [官方网站](http://www.moon-stone.jp) |
| yuzu soft | ![icon](http://www.yuzu-soft.com/favicon.ico)Yuzu-Soft | 柚子社<br>![logo](http://www.yuzu-soft.com/images/common/logo.png)<br>萌萌的画风！<br>![图](https://ehgt.org/54/86/5486c309044d7247180c9de12c5d352735c58cf5-104368-600-425-jpg_250.jpg) | [官方网站](http://www.yuzu-soft.com/) |
