| 原始标签 | 名称 | 描述 | 外部链接 |
| -------- | ---- | ---- | -------- |
|  | == 语言标签 == |  |  |
| albanian | 阿尔巴尼亚语 | 阿尔巴尼亚语（Gjuha shqipe /ˈɟuˌha ˈʃciˌpɛ/ 或 Shqip /ʃcip/）属印欧语系。使用者约五百万人，主要分布在阿尔巴尼亚、科索沃、马其顿以及希腊。其他东南欧国家如蒙特内格罗的阿尔巴尼亚族裔亦有使用。 |  |
| arabic | 阿拉伯语 | 阿拉伯语，简称阿语（العَرَبِيَّة al-ʻarabīyah [alʕaraˈbijja] 或者 عربي/عربى ʻarabī [ˈʕarabiː]，英语：Arabic language）阿拉伯语是除英语、法语和西班牙语之外最多国家的官方语言也是联合国官方语言之一。阿拉伯语源自公元6世纪的古典阿拉伯语的一种或多种语言。它包括书面语及流通于中东、北非和非洲之角（即索马里半岛）的各种口语。阿拉伯语属于亚非语系。 |  |
| bengali | 孟加拉语 | 孟加拉语（bāṅlā / বাংলা 或者 bāṅālī / বাঙালী）属于印欧语系印度-伊朗语族的印度-雅利安语支，是孟加拉国和印度西孟加拉邦和特里普拉邦的官方语言，使用人口约2亿2千万人，是印度-伊朗语族在印地语之后第二大语言。孟加拉语使用主要分布于孟加拉国和印度西孟加拉邦等。 |  |
| catalan | 加泰罗尼亚语 | 加泰罗尼亚语或加泰兰语（Català，以下简称为加语），在某些地区又称瓦伦西亚语（Valencià）属印欧语系罗曼语族，是西班牙官方语言之一。约有12,000,000使用人口。主要位于西班牙、法国、安道尔和意大利，其中大部分使用者在加泰罗尼亚。 |  |
| cebuano | 宿务语 | 宿务语（Sinugboanon, Cebuano, Sebwano），又名米沙鄢语（Binisaya）是一种在菲律宾中部的米沙鄢群岛和南部棉兰老岛的北部的语言，属于南岛语系马来-波利尼西亚语族。根据《民族语》取得的1995年统计数字，宿务语有语言人口超过2千万人。 |  |
| chinese | 汉语 | ![无可奉告](https://tva1.sinaimg.cn/large/6c84b2d6gw1f44da2ugtrj20rs0qgair.jpg)<br>汉语，又称中文、华语、唐话，或被视为汉藏语系汉语族下之唯一一种语言，或被视为语族。 |  |
| czech | 捷克语 | 捷克语（čeština）属于斯拉夫语族西斯拉夫语支的成员，属同一语支的语言还有斯洛伐克语、波兰语、波美拉尼亚语、索布语、西里西亚语等语言。捷克语的语言人口有1200万人，他们大多数都居住于捷克共和国。 |  |
| danish | 丹麦语 | 丹麦语（dansk，宽式IPA：/d̥ænsɡ̊/）属于印欧语系－日尔曼语族－北日尔曼语支，通行于丹麦王国以及其属地法罗群岛、格陵兰，也零星通行于德国、挪威和瑞典境内的部分地区。 |  |
| dutch | 荷兰语 | 荷兰语（荷兰语：Nederlands，英语：Dutch），又称尼德兰语，属于印欧语系日耳曼语族下的西日耳曼语支，主要通行于荷兰，在比利时与苏利南有六成人口使用它，这三个国家共同组成荷兰语联盟。是荷兰、比利时、苏里南和荷属安的列斯群岛的官方语言。在荷兰全境和比利时北部的佛兰德斯地区通用。 |  |
| english | 英语 | 英语（英语：English，发音ˈɪŋglɪʃ）约50多个国家做为官方或通用语言，是最广泛使用的语言，也是联合国官方语言之一。 由于超级大国美国也说英语，英语成为了事实上的国际语言。 英语在新帝国主义时代广泛传播到世界各地，是现代移民社会的主要语言。相对于所谓的英式正统英文，美式英语的文法和大量移民辞汇显得更加轻松随意，使得容易学习的美式英语反而成为现代学英语者首要选择。 |  |
| esperanto | 世界语 | ![世界语语旗](https://tva1.sinaimg.cn/large/6c84b2d6gw1f3tucq53t7j208w05xwec.jpg)<br>世界语(Esperanto)是波兰籍犹太人柴门霍夫博士(Lazarz Ludwik Zamenhof) 1887年在印欧语系基础上创立的一种语言，旨在消除国际交往中的语言障碍，令全世界各个种族肤色的人民都能在同一个人类大家庭里像兄弟姐妹一样和睦共处。世界语已经成为了目前国际上使用最为广泛的国际辅助语，全球150多个国家和地区都有世界语组织和世界语者。<br>早在1954年，联合国教科文组织就正式把国际世界语协会列为教科文组织B级咨询关系单位，确定了国际世界语协会在联合国和教科文组织的正式地位。 |  |
| estonian | 爱沙尼亚语 | 爱沙尼亚语（eesti keel）是爱沙尼亚的国语，2012年约有120万人日常使用，属于乌拉尔语系的芬兰-乌戈尔语族，最接近芬兰语，这两种语言近似到可以相通的地步——至少对于说北方方言的爱沙尼亚人是如此。同属乌戈尔语支的匈牙利语与其分别较大。其近邻立陶宛语与拉脱维亚语与爱沙尼亚语关联不大，但是爱沙尼亚语中有一部词汇为立陶宛语与拉脱维亚语的借词。 |  |
| finnish | 芬兰语 | 芬兰语（Suomi）是芬兰大部分（92%）国民的语言，也被境外芬兰裔侨民所用。它是芬兰的两种官方语言之一，也是瑞典的一种法定少数族裔语言。 |  |
| french | 法语 | 法语（le français 或 la langue française）属于印欧语系罗曼语族，法语是除英语、西班牙语和阿拉伯语之外最多国家的官方语言也是联合国工作语言之一，法语也是联合国、欧盟、北约、奥运会、世贸和国际红十字会等的官方语言及正式行政语言。 |  |
| german | 德语 | 德语（Deutsch）是印欧语系西日耳曼语支的一门语言。以使用国家数量来算是世界排名第六的语言，也是世界大国语言之一以及欧盟内使用最广的母语，德语拥有9000万到9800万使用者。 |  |
| greek | 希腊语 | 希腊语（Ελληνικά）是一种印欧语系的语言，广泛用于希腊、阿尔巴尼亚、塞浦路斯等国，与土耳其包括小亚细亚一带的某些地区。 |  |
| hebrew | 希伯来语 | 希伯来语（עִבְרִית‘Ivrit，读音：[iv'ri:t]）属于亚非语系闪米特语族，为具有古代犹太民族（以色列民族或希伯来民族）意识之现代人民的民族语言、也是犹太教的宗教语言。 |  |
| hindi | 印地语 | 印地语（天城文：हिन्दी 或 हिंदी，拉丁字母转写：Hindī）又称北印度语，是印欧语系印度-伊朗语族中印度-雅利安语支下的一种语言。印地语以使用国家数量来算是世界排名第八的语言，在1965年1月26日成为印度中央政府的官方语言（连同英语）。 |  |
| hungarian | 匈牙利语 | 匈牙利语又称马扎尔语，是一种乌拉尔语系芬兰－乌戈尔语族乌戈尔语支的语言，为马扎尔人的语言。使用者主要分布在匈牙利，是该国的官方语言，也是欧盟24个官方语言之一。此外匈牙利语还分布在罗马尼亚、斯洛伐克、乌克兰、塞尔维亚、克罗地亚、奥地利、斯洛文尼亚等国家。 |  |
| indonesian | 印尼语 | 印尼语（bahasa Indonesia），即印尼化的马来语廖内方言，是印度尼西亚的官方语言。属马来-波利尼西亚语族。全世界大约有4280万人使用这种语言，还有1.55亿人将印尼语作为第二语言。 |  |
| italian | 意大利语 | 意大利语（意大利语：Italiano）隶属于印欧语系的罗曼语族。现有约7千万人日常用意大利语，大多是意大利居民。另有28个国家使用意大利语，其中4个立它为官方语言。 |  |
| japanese | 日语 | 日本语（日本語／にほんご Nihongo），简称日语，其文字称为日文，是一种主要为日本列岛上大和族所使用的语言，日语也是大国语言之一。虽然日本并没有在法律上明确规定其官方语言，但是各种法令都规定要使用日语，在学校教育中作为国语教授的也是日语。日语是日本的公用语言是不争的事实。 |  |
