| 原始标签 | 名称 | 描述 | 外部链接 |
| -------- | ---- | ---- | -------- |
| doujinshi | 同人志 | 任何自费出版或自行发布（例如通过 pixiv）的 H 漫画或色情`comic`，通常包含格子和文本。经常涉及到模仿现有的动画、漫画、游戏和其他可识别的角色或吉祥物 (例如 `vocaloid`)。 |  |
| manga | 漫画 | H 漫画（或在本网站使用的上下文中简称为“Manga”）是由亚洲艺术家作画并由第三方出版色情漫画。通常只包含原创内容。这一类多数是`tankoubon`和`anthology`。 |  |
| artistcg | 画师CG | 电脑作画的画师作品集，往往是单独的全彩图像，很少有手工绘制的，并有更复杂的背景。不适用于从一个艺术家各个作品中抽出的零散作品，图像必须是一个特定的被出售或分发的集合，尤其是为了叙述一系列事件。 |  |
| gamecg | 游戏CG | 计算机生成的作品，往往从色情游戏（エロゲー）提取。一般有大量图像。不适用于游戏中的角色图像或游戏截图。 |  |
| western | 西方 | 所有西方色情艺术，包括图像、CG 和漫画。 |  |
| non-h | 无H | 亚洲来源的非色情性质的图像（单个具有性内容的图像将使整个画廊失去资格）。允许少量非色情性质的裸体。西方的这类是`misc`类别。不允许任何协议禁止的内容。 |  |
| imageset | 图片集 | 图片集是一个通用的画廊。他们大多是日本人绘制的内容，但不属于漫画或同人志。这些画廊内的图像通常具有单个主题（例如特定艺术家，特定系列的人物，或特定恋物癖）。 |  |
| cosplay | Cosplay | 真人装扮成动画、漫画或游戏中的角色，用于一般表演（非裸体也是可以接受的）或专门为性目的拍摄。打扮为一般普通护士或女佣等，而不是特定角色的不算。 |  |
| misc | 杂项 | 不符合任何其他类别的画廊。包含`3d`画廊、非色情的`western`画廊、`figure`画廊、`paperchild`画廊、`real doll`画廊等。从这些画廊获得的 GP 数量减少到上传者通常会收到的 25％。 |  |
| private | 私有 | 私有画廊是一个非正式的类别，允许用户不与 E-Hentai 社区其他成员分享他们的内容。他们往往是想要将其作为自己的个人用户画廊，或只是希望自己的朋友前来参观。从私有画廊获得的GP数量减少到上传者通常会收到的金额的 10％。要创建私人图库，用户必须拥有铜星或更高星级。 |  |
| asianporn | 亚洲色情 | 将被淘汰的老分类，2012-02-15 开始禁止使用，会逐渐删除。 |  |
