| 原始标签 | 名称 | 描述 | 外部链接 |
| -------- | ---- | ---- | -------- |
|  | ▼ 重复项合并 |  |  |
| alice | 爱丽丝 | 因本名称过于普遍，建议使用更有特征的标签。<br><br>《爱丽丝梦游仙境》中的爱丽丝请使用`alice liddell`。 |  |
| akane hino | 日野茜 | Smile 光之美少女！角色<br>偶像大师灰姑娘女孩 角色 |  |
| ibuki | 伊吹 | ![闪乱神乐:伊吹](https://ehgt.org/16/35/163597e5bc47a1cf177e4d199a1b3850c6852c84-49556-384-480-jpg_l.jpg) | [闪乱神乐:伊吹](https://zh.moegirl.org/闪乱神乐:伊吹) [碧蓝航线:伊吹](https://zh.moegirl.org/碧蓝航线:伊吹) |
| yui | 由依 \| 结衣 | `Angel Beats` 角色<br>![图](https://ehgt.org/53/75/5375e7612aee494400025f6f70a43177df45cd73-11067561-4912-6996-jpg_l.jpg)<br><br>`Sword Art Online`角色，男女主的义女<br>![图](https://ehgt.org/b5/3a/b53a755dc9bd2828cc6e5ce90d74a9d96f027e0c-86616-960-544-jpg_l.jpg)![图](https://ehgt.org/2a/83/2a83864ab6dd535180f1e68ace9ab5f3357b2cbb-123272-960-544-jpg_l.jpg)![图](https://ehgt.org/4f/90/4f90948cc15585be12c99f7a6ff413081dd50ea0-90922-400-600-jpg_l.jpg)![图](https://ehgt.org/73/80/7380fc10fce3efa0be2aa819e71bab44948a9cf0-1060909-818-1157-jpg_l.jpg) |  |
| hisui | 翡翠 \| 飞彗 | TYPE-MOON世界观角色<br>闪乱神乐角色 ![](https://ehgt.org/5a/8d/5a8d048f02c2024c0058280b10182edfbaf46a80-28736-350-437-jpg_l.jpg) |  |
| rider | Rider \| 龙女 | Fate系列英灵。指第五次圣杯战争中的 Rider，美杜莎。其他情况使用真名。<br>![图](https://ehgt.org/de/3d/de3ddea13d0b727c283b8c953ec1c325b44b4430-2352720-1024-1448-png_l.jpg)![图](https://ehgt.org/a4/84/a484e050b1df0c2863d8a0b1e89b0c97b356d778-2566283-1024-1448-png_l.jpg)![图](https://ehgt.org/6d/bd/6dbd2a552c3d1993d1e0da06240d15f41b4acd49-8204052-4156-5184-jpg_l.jpg)<br>龙女 - 《噗哟噗哟》登场角色 | [FGO中文Wiki](https://fgo.wiki/w/美杜莎) [萌娘百科](https://zh.moegirl.org/zh-hans/美杜莎%28Fate%29) |
| maya | 摩耶 \| 玛妮亚 | 旧日本帝国海军高雄级重巡洋舰三番舰摩耶号（摩耶 (重巡洋舰)）![摩耶](# "https://ehgt.org/73/ae/73aeb71c7a738a0e9c01904c4b5815d97a052a85-2526447-2136-3006-jpg_250.jpg")<br><br>玛妮亚 《勇者斗恶龙：英雄》角色 以华丽舞蹈俘虏观众的人气舞者。将天生的热情投入赌博当中则是白璧微瑕。 | [碧蓝航线:摩耶](https://zh.moegirl.org/碧蓝航线:摩耶) [战舰少女:摩耶](https://zh.moegirl.org/战舰少女:摩耶) [舰队Collection:摩耶](https://zh.moegirl.org/舰队Collection:摩耶) |
| jeanne darc | 圣女贞德 | 在英法百年战争（1337年－1453年）中解放了奥尔良的法国英雄。天主教的圣人。她带领法国军队对抗英军的入侵，然而圣女贞德于1430年在贡比涅一次小冲突中为勃艮第公国所俘，不久为英格兰人以重金购去，由英格兰当局控制下的宗教裁判所以异端和女巫罪判处她火刑，于1431年5月30日在法国鲁昂当众处死。 | [Fate:贞德](https://zh.moegirl.org/圣女%28Fate%29) [碧蓝航线:圣女贞德](https://zh.moegirl.org/碧蓝航线:圣女贞德) [战舰少女:圣女贞德](https://zh.moegirl.org/战舰少女:圣女贞德) |
| katsuragi | 葛城 |  | [闪乱神乐:葛城](https://zh.moegirl.org/闪乱神乐:葛城) [舰队Collection:葛城](https://zh.moegirl.org/舰队Collection:葛城) |
| kasumi | 霞 | 旧日本帝国海军的霞号驱逐舰（霞(駆逐艦)）<br><br>![](https://ehgt.org/1b/81/1b81762e2bf28e5288ab65ccc7c1a53fae14157a-302554-383-479-png_l.jpg) | [碧蓝航线:霞](https://zh.moegirl.org/碧蓝航线:霞) [舰队Collection:霞](https://zh.moegirl.org/舰队Collection:霞) |
| leo | 丽王 \| 利昂 | ![](https://ehgt.org/8f/b3/8fb3fa4e236756abd40adeeb6fd7806860bb427f-42655-384-480-jpg_l.jpg)<br><br>`fire emblem if` 角色 |  |
| haruna | 榛名 \| 春奈 | 旧日本帝国海军的榛名号战列巡洋舰（榛名（Haruna））![榛名](# "https://ehgt.org/46/0a/460a848cb9a5c2cad258752db0fb80f863faf150-1427635-1422-2000-jpg_250.jpg")<br><br>春奈是轻小说《`kore wa zombie desu ka`》及其衍生的漫画、动画等作品的登场角色。![春奈](# "http://p6.qhmsg.com/t011d470cc84d514d9c.jpg") | [碧蓝航线:榛名](https://zh.moegirl.org/碧蓝航线:榛名) [战舰少女:榛名](https://zh.moegirl.org/战舰少女:榛名) [舰队Collection:榛名](https://zh.moegirl.org/舰队Collection:榛名) |
| chitose | 千岁 | ![](https://ehgt.org/ce/1a/ce1a2a948f1a1c4eb6f36672da51dacf2b95c43a-49028-384-480-jpg_l.jpg)<br>No.049 千岁![千岁](# "https://img.acg.moe/common/thumb/c/c9/43876295.jpg/250px-43876295.jpg")P站ID:43876295 |  |
| murakumo | 丛 \| 丛云 | ![](https://ehgt.org/a6/c0/a6c04cb51e12ba24916cc7ad36dcac6841efe66f-65154-288-360-jpg_l.jpg)<br><br>No.015 丛云![丛云](# "https://ehgt.org/e5/3c/e53c7d890b6a916c91e704fce1811b8ed33276b3-744537-1433-2020-jpg_250.jpg") | [舰队Collection:丛云](https://zh.moegirl.org/舰队Collection:丛云) |
| nachi | 那智 | ![](https://ehgt.org/0c/ba/0cba65a8a875a658811822c3beb4945c17259bf6-48275-384-480-jpg_l.jpg)<br><br>旧日本帝国海军妙高级重巡洋舰二番舰那智号（那智(重巡洋舰)） | [碧蓝航线:那智](https://zh.moegirl.org/碧蓝航线:那智) [舰队Collection:那智](https://zh.moegirl.org/舰队Collection:那智) |
| kagura | 神乐 | 银魂<br>犬夜叉<br>![闪乱神乐](# "https://ehgt.org/12/1c/121c3b43d357b284004df683fe6750bebb1674ba-3110618-2117-3000-jpg_l.jpg") |  |
| ram | 拉姆 | `re zero kara hajimeru isekai seikatsu`中的角色<br>![拉姆](https://ehgt.org/b7/85/b785182a5e03deeb75e84661e61f471e838cd293-190463-609-830-jpg_l.jpg)<br><br>`hyperdimension neptunia`中的角色<br>![图](https://ehgt.org/d9/30/d930d4c3a74a3650fb43e0f00a5bcf57f350be59-2269588-4877-6950-jpg_l.jpg) |  |
|  | ▲ 重复项合并 |  |  |
|  | ▼ 萌单 人物 | 👓我已经钦定了，茵可酱只能我来改 |  |
| ink nijihara | 虹原茵可 | 《`moetan`》最萌的高中生<br>![图](https://ehgt.org/36/b3/36b3430eccf8fb301c3f3bcd6950b69753daeb43-249981-1293-1735-jpg_l.jpg) |  |
| pastel ink | 闪亮茵可 | 《`moetan`》最萌的高中生·变身<br>![图](https://ehgt.org/ec/86/ec8693643d59fb7f0a553cdde42ac330cc713a83-270681-1288-1726-jpg_l.jpg) |  |
| sumi kuroi | 黑威澄 | 《萌单》<br>![图](https://ehgt.org/75/60/756039fd1aed7c3b039b28808d3ff6a7b776d0ba-893718-2132-3023-jpg_l.jpg)![图](https://ehgt.org/03/b8/03b89a190169d99237c6be61601af1a45ed8b288-2777516-2440-3500-jpg_l.jpg) |  |
| alice shiratori | 白鸟爱丽丝 | 《萌单》<br>![图](https://ehgt.org/33/21/33211481c0dd0b65055b906cb813282de2c673c5-1102798-2132-3023-jpg_l.jpg)![图](https://ehgt.org/65/43/6543599c91bbd2f73baa23c6e8c5977b4a37a492-2467241-2132-3023-jpg_l.jpg) |  |
|  | ▲萌单 人物 | 👓我已经钦定了，茵可酱只能我来改 |  |
|  | ▼ 东方Project 人物 | 请参照THBWiki官方角色列表填写 | [官方角色列表](http://thwiki.cc/官方角色列表) |
|  | 东方Project >> 城管二人组 |  |  |
| reimu hakurei | 博丽灵梦 | 博丽灵梦（日语：博麗 霊夢〔博麗 靈夢〕／はくれい れいむ Hakurei Reimu）是日本同人游戏社团上海爱丽丝幻乐团所制作的弹幕射击游戏（STG）`Touhou Project`中的主角。<br>![图](https://ehgt.org/de/ad/dead0423a1e4085ea412bf7a3a186a22e1ebe13d-8179554-4235-6059-jpg_l.jpg)![图](https://ehgt.org/0b/f6/0bf6c0611d86ab910ad9643b31795a6079e7598c-2488379-1433-2024-jpg_l.jpg)![图](https://ehgt.org/78/c2/78c2bf490816399dd4375efef503af6b4c6659f4-2477715-3500-2462-jpg_l.jpg)![图](https://ehgt.org/90/c1/90c1c7e5677cf3f4858378e53571233aaac3aa78-1721807-1433-2024-jpg_l.jpg)![图](https://ehgt.org/04/13/04131813ba93b13d3b983e6493be28e89d72bb96-302496-1060-1510-jpg_l.jpg)![图](https://ehgt.org/91/a6/91a6a7786e41b87948666d26881e6983c57a9d5e-297535-1060-1510-jpg_l.jpg)![图](https://ehgt.org/f0/9a/f09ac89d4b6994376072917b9c1fb708ea29fdd3-272955-500-750-png_l.jpg)![十万巫女](https://img.acg.moe/common/thumb/8/87/ShinkirouReimu.jpg/447px-ShinkirouReimu.jpg)![图](https://ehgt.org/cd/af/cdaf1e9679370b3ce9b47a75a24dfe4888353bf7-3646663-2067-3027-png_l.jpg)![图](https://ehgt.org/4e/79/4e796a164427d9be9e396218e58ae83b9d212ea0-4959672-2046-3026-png_l.jpg)![图](https://ehgt.org/38/03/3803805597c73a675ee0e6c60f0ddff87800ea61-941898-877-1240-jpg_l.jpg) | [中文维基](https://zh.wikipedia.org/wiki/博麗靈夢) [萌娘百科](https://zh.moegirl.org/zh-hans/博丽灵梦) [THBWiki](https://thwiki.cc/博丽灵梦) |
| marisa kirisame | 雾雨魔理沙 | 雾雨魔理沙（日语：霧雨 魔理沙／きりさめ まりさ Kirisame Marisa）是日本同人游戏社团上海爱丽丝幻乐团所制作的弹幕射击游戏（STG）《东方Project》中的主角。<br>![图](https://ehgt.org/07/71/077191a294e69c0f2f5cd915062b508496b4484d-10041822-4226-6059-jpg_l.jpg)![图](https://ehgt.org/f3/d4/f3d4a82f68cb9cb82246533867fed416e40c0949-9286815-4267-6060-jpg_l.jpg)![图](https://ehgt.org/bb/3e/bb3e454c7793bcd9ab7e9976ca4b06326d790d78-6980551-4001-5942-jpg_l.jpg)![图](https://ehgt.org/49/bc/49bcd538eb4b8f40a640387b1235542f1ed7c881-2194721-1433-2024-jpg_l.jpg)![图](https://ehgt.org/d3/43/d3430042228c0b1495889eb8a88e3985a5ab458a-1887266-3500-3071-jpg_l.jpg)![图](https://ehgt.org/c3/09/c309de5beca94a6c3be88a2b720524beeca6a47b-298321-1060-1510-jpg_l.jpg)![图](https://ehgt.org/c0/b5/c0b57298a78757de6c861f53fb96a0a702aab4da-2199889-1000-1391-png_l.jpg)![图](https://ehgt.org/66/35/66353181a979125924c875c2dd312296be811361-664544-1280-1802-jpg_l.jpg)![图](https://ehgt.org/fa/d7/fad79463b1c7c4c5023667e45c5d68fcac3a3dfc-4092764-2057-3026-png_l.jpg)![图](https://ehgt.org/ce/b2/ceb22406da8728a60e1e88aa7c9cd536bd80a0e7-5393587-2048-3026-png_l.jpg) | [中文维基](https://zh.wikipedia.org/wiki/霧雨魔理沙) [萌娘百科](https://zh.moegirl.org/zh-hans/雾雨魔理沙) [THBWiki](https://thwiki.cc/雾雨魔理沙) |
|  | 东方Project >> 旧作 >> 东方灵异传 |  |  |
| mima | 魅魔 | 魅魔是个常常环绕在博丽神社四周的恶灵。作为旧作的反派头目之一，虽说是敌人，但却让人恨不起来。个性开朗，有人情味，对自己的（战斗）能力非常有信心，甚至有些自负。<br>![《怪绮谈》中的魅魔（选人立绘）](https://img.moegirl.org/common/3/31/TH05Mima.png)![图](# "https://ehgt.org/90/ee/90ee106ff6814a9fb573478371becce91b995fb1-400946-1000-1300-jpg_l.jpg") | [萌娘百科](https://zh.moegirl.org/zh-hans/魅魔%28东方Project%29) [东方维基](https://zh.touhouwiki.net/index.php?title=魅魔) [THBWiki](https://thwiki.cc/魅魔) |
|  | 东方Project >> 旧作 >> 东方封魔录 |  |  |
|  | 东方Project >> 旧作 >> 东方梦时空 |  |  |
| yumemi okazaki | 冈崎梦美 | 在《东方梦时空》中作为9面BOSS和隐藏可选自机登场。<br>在未来大学中任教比较物理学的教授,，有灵异现象控倾向，并在学会中发表了相关的理论，但是她的理论被狠狠地嘲笑和否定了。<br>为了向嘲笑她的同僚们复仇，一怒之下拉上了助手千百合一起乘坐“可能性空间移动船”，开始寻找有魔力存在的平行世界，没有多久她们便发现了“东之国域”这一理想的观测点，却也没有想到也因此陷入了循环的怪圈……<br>![冈崎梦美于东方梦时空中的造型](https://zh.touhouwiki.net/images/8/8a/Th03Yumemi.png) | [萌娘百科](https://zh.moegirl.org/zh/冈崎梦美) [东方维基](https://zh.touhouwiki.net/index.php?title=冈崎梦美) [THBWiki](https://thwiki.cc/冈崎梦美) |
|  | 东方Project >> 旧作 >> 东方幻想乡 |  |  |
|  | 东方Project >> 旧作 >> 东方怪绮谈 |  |  |
| yumeko | 梦子 | 《怪绮谈》5面BOSS，服侍魔界之神神绮的女仆，是神绮创造的魔界造物中级别最高的存在。<br>![梦子于东方怪绮谈中的造型](https://zh.touhouwiki.net/images/4/4a/Th05yumeko.png)<br>![梦子（怪绮谈）](https://img.moegirl.org/common/f/fe/梦子（怪绮谈）.jpg) | [萌娘百科](https://zh.moegirl.org/zh-hans/梦子) [东方维基](https://zh.touhouwiki.net/index.php?title=梦子) [THBWiki](https://thwiki.cc/梦子) |
| shinki | 神绮 | 太太我喜欢你啊<br>![图](https://ehgt.org/db/d2/dbd2daf3eed3249a7fc417ed26d1f6e1dd9fec23-1094828-1111-1590-png_l.jpg)![图](https://ehgt.org/61/ab/61abf715f0d4ba0826c981db6c2adb86e0e0f860-1292470-1413-2000-jpg_l.jpg) |  |
|  | 东方Project >> 东方红魔乡 |  |  |
| rumia | 露米娅 | ![图](https://ehgt.org/c2/7e/c27e69786cbdf496f52e742e38d08c6269c39495-2749184-2073-3031-png_l.jpg)![图](https://ehgt.org/3e/c8/3ec8e95172bc5a5f1d3f11de48834118ec60061b-274638-575-669-png_l.jpg)![图](https://ehgt.org/38/7d/387d204f983df71a53c373c42ebc671ac3f1681f-197980-828-1170-jpg_l.jpg)![图](https://ehgt.org/c6/a6/c6a6f5f7d1f26771064dd05fd90a6673462f80ff-460839-1000-1300-jpg_l.jpg)![图](https://ehgt.org/d8/2f/d82f6193a2245f7c3ea99a5922a4868029c996cc-295514-540-540-png_l.jpg) |  |
| daiyousei | 大妖精 | ![图](https://ehgt.org/e6/eb/e6eb909e8823f7db6a75433c4cd1297740de2b58-2172329-1433-2024-jpg_l.jpg)![图](# "https://ehgt.org/00/36/00365d3e799243da7f5fce7371b9c9442c4e2b46-9478140-2550-3510-jpg_l.jpg")![图](https://ehgt.org/27/5f/275ffede4c067f391e1e67eb4d0c44f32cc2164f-694461-924-1200-jpg_l.jpg)![图](https://ehgt.org/f8/71/f87185b8ec01a58120ec4ac9e561f6bbce546f4d-936836-1544-1968-png_l.jpg)![图](https://ehgt.org/f5/8b/f58bf8ac0e921f3d2213d7dcc6cc15ce70e6fae0-3155011-2050-3031-png_l.jpg)![图](https://ehgt.org/56/24/5624c9d4fbe161484748bd6f2a1e9376e684097d-4741221-2070-3030-png_l.jpg) |  |
